ItemId,Featured Articles
223826,"174259,160400,172095,166263"
223837,"174259,160400,172095,166263"
223843,"174259,160400,172095,166263"
223853,"174259,160400,172095,166263"
223855,"174259,160400,172095,166263"
223858,"174259,160400,172095,166263"
223862,"174259,160400,172095,166263"
223864,"174259,160400,172095,166263"
223865,"174259,160400,172095,166263"
223866,"174259,160400,172095,166263"
223867,"174259,160400,172095,166263"
223868,"174259,160400,172095,166263"
223871,"174259,160400,172095,166263"
223873,"174259,160400,172095,166263"
75843,"174259,160400,172095,166263"
99770,"174259,160400,172095,166263"
104373,"166610,163484,163692,155237"
104382,"166610,163484,163692,155237"
104388,"166610,163484,163692,155237"
104399,"166610,163484,163692,155237"
104401,"166610,163484,163692,155237"
104403,"166610,163484,163692,155237"
104404,"166610,163484,163692,155237"
104405,"166610,163484,163692,155237"
104417,"166610,163484,163692,155237"
104430,"166610,163484,163692,155237"
104479,"166610,163484,163692,155237"
104481,"166610,163484,163692,155237"
104483,"166610,163484,163692,155237"
104489,"166610,163484,163692,155237"
104490,"166610,163484,163692,155237"
104496,"166610,163484,163692,155237"
104500,"166610,163484,163692,155237"
104501,"166610,163484,163692,155237"
104502,"166610,163484,163692,155237"
104503,"166610,163484,163692,155237"
104505,"166610,163484,163692,155237"
104526,"166610,163484,163692,155237"
104683,"166610,163484,163692,155237"
104685,"166610,163484,163692,155237"
104704,"166610,163484,163692,155237"
104711,"166610,163484,163692,155237"
104713,"166610,163484,163692,155237"
104790,"166610,163484,163692,155237"
104792,"166610,163484,163692,155237"
105483,"166610,163484,163692,155237"
105489,"166610,163484,163692,155237"
105495,"166610,163484,163692,155237"
105499,"166610,163484,163692,155237"
105504,"166610,163484,163692,155237"
105509,"166610,163484,163692,155237"
105514,"166610,163484,163692,155237"
105519,"166610,163484,163692,155237"
105538,"166610,163484,163692,155237"
105539,"166610,163484,163692,155237"
105540,"166610,163484,163692,155237"
105556,"166610,163484,163692,155237"
105572,"166610,163484,163692,155237"
105946,"166610,163484,163692,155237"
107395,"166610,163484,163692,155237"
107398,"166610,163484,163692,155237"
107423,"166610,163484,163692,155237"
107430,"166610,163484,163692,155237"
107465,"166610,163484,163692,155237"
107522,"166610,163484,163692,155237"
107523,"166610,163484,163692,155237"
107537,"166610,163484,163692,155237"
107538,"166610,163484,163692,155237"
107544,"166610,163484,163692,155237"
107547,"166610,163484,163692,155237"
107552,"166610,163484,163692,155237"
107554,"166610,163484,163692,155237"
107558,"166610,163484,163692,155237"
107576,"166610,163484,163692,155237"
108054,"166610,163484,163692,155237"
108060,"166610,163484,163692,155237"
108074,"166610,163484,163692,155237"
108075,"166610,163484,163692,155237"
108379,"166610,163484,163692,155237"
108387,"166610,163484,163692,155237"
108475,"166610,163484,163692,155237"
108493,"166610,163484,163692,155237"
108527,"166610,163484,163692,155237"
108584,"166610,163484,163692,155237"
108587,"166610,163484,163692,155237"
108599,"166610,163484,163692,155237"
108601,"166610,163484,163692,155237"
108619,"166610,163484,163692,155237"
109021,"166610,163484,163692,155237"
109022,"166610,163484,163692,155237"
109026,"166610,163484,163692,155237"
109031,"166610,163484,163692,155237"
109441,"166610,163484,163692,155237"
109455,"166610,163484,163692,155237"
