ItemId,Featured Articles
100469,"174259,160400,172095,166263"
100601,"174259,160400,172095,166263"
100479,"174259,160400,172095,166263"
101171,"174259,160400,172095,166263"
224346,"174259,160400,172095,166263"
224331,"174259,160400,172095,166263"
224350,"174259,160400,172095,166263"
224336,"174259,160400,172095,166263"
224359,"174259,160400,172095,166263"
224362,"174259,160400,172095,166263"
224354,"174259,160400,172095,166263"
224366,"174259,160400,172095,166263"
224369,"174259,160400,172095,166263"
224376,"174259,160400,172095,166263"
224387,"174259,160400,172095,166263"
224373,"174259,160400,172095,166263"
224380,"174259,160400,172095,166263"
224393,"174259,160400,172095,166263"
224402,"174259,160400,172095,166263"
224398,"174259,160400,172095,166263"
224405,"174259,160400,172095,166263"
224413,"174259,160400,172095,166263"
224416,"174259,160400,172095,166263"
224419,"174259,160400,172095,166263"
224421,"174259,160400,172095,166263"
224426,"174259,160400,172095,166263"
101202,"174259,160400,172095,166263"
224427,"174259,160400,172095,166263"
224430,"174259,160400,172095,166263"
224428,"174259,160400,172095,166263"
224436,"174259,160400,172095,166263"
224469,"174259,160400,172095,166263"
224466,"174259,160400,172095,166263"
224431,"174259,160400,172095,166263"
224442,"174259,160400,172095,166263"
224458,"174259,160400,172095,166263"
224475,"174259,160400,172095,166263"
224446,"174259,160400,172095,166263"
224481,"174259,160400,172095,166263"
224450,"174259,160400,172095,166263"
224455,"174259,160400,172095,166263"
224480,"174259,160400,172095,166263"
224473,"174259,160400,172095,166263"
224478,"174259,160400,172095,166263"
224439,"174259,160400,172095,166263"
224483,"174259,160400,172095,166263"
224488,"174259,160400,172095,166263"
224485,"174259,160400,172095,166263"
224494,"174259,160400,172095,166263"
224506,"174259,160400,172095,166263"
224502,"174259,160400,172095,166263"
224510,"174259,160400,172095,166263"
224498,"174259,160400,172095,166263"
224514,"174259,160400,172095,166263"
224518,"174259,160400,172095,166263"
224527,"174259,160400,172095,166263"
224525,"174259,160400,172095,166263"
224528,"174259,160400,172095,166263"
224530,"174259,160400,172095,166263"
224531,"174259,160400,172095,166263"
224532,"174259,160400,172095,166263"
224529,"174259,160400,172095,166263"
224547,"174259,160400,172095,166263"
224533,"174259,160400,172095,166263"
224576,"174259,160400,172095,166263"
224565,"174259,160400,172095,166263"
224584,"174259,160400,172095,166263"
224592,"174259,160400,172095,166263"
224593,"174259,160400,172095,166263"
230275,"174259,160400,172095,166263"
230277,"174259,160400,172095,166263"
230304,"174259,160400,172095,166263"
230290,"174259,160400,172095,166263"
230308,"174259,160400,172095,166263"
230312,"174259,160400,172095,166263"
230311,"174259,160400,172095,166263"
230313,"174259,160400,172095,166263"
230315,"174259,160400,172095,166263"
230316,"174259,160400,172095,166263"
230321,"174259,160400,172095,166263"
230323,"174259,160400,172095,166263"
230325,"174259,160400,172095,166263"
230335,"174259,160400,172095,166263"
230351,"174259,160400,172095,166263"
108871,"174259,160400,172095,166263"
233227,"174259,160400,172095,166263"
233247,"174259,160400,172095,166263"
233257,"174259,160400,172095,166263"
233258,"174259,160400,172095,166263"
69649,"174259,160400,172095,166263"
239443,"174259,160400,172095,166263"
69652,"174259,160400,172095,166263"
85062,"174259,160400,172095,166263"
75190,"174259,160400,172095,166263"
101171,"166610,163484,163692,155237"
100469,"166610,163484,163692,155237"
101202,"166610,163484,163692,155237"
100479,"166610,163484,163692,155237"
100601,"166610,163484,163692,155237"
224346,"166610,163484,163692,155237"
224359,"166610,163484,163692,155237"
224331,"166610,163484,163692,155237"
224354,"166610,163484,163692,155237"
224350,"166610,163484,163692,155237"
224336,"166610,163484,163692,155237"
224362,"166610,163484,163692,155237"
224366,"166610,163484,163692,155237"
224373,"166610,163484,163692,155237"
224369,"166610,163484,163692,155237"
224376,"166610,163484,163692,155237"
224380,"166610,163484,163692,155237"
224387,"166610,163484,163692,155237"
224393,"166610,163484,163692,155237"
224405,"166610,163484,163692,155237"
224398,"166610,163484,163692,155237"
224402,"166610,163484,163692,155237"
224413,"166610,163484,163692,155237"
224419,"166610,163484,163692,155237"
224416,"166610,163484,163692,155237"
224421,"166610,163484,163692,155237"
224426,"166610,163484,163692,155237"
224428,"166610,163484,163692,155237"
224431,"166610,163484,163692,155237"
224430,"166610,163484,163692,155237"
224427,"166610,163484,163692,155237"
224436,"166610,163484,163692,155237"
224439,"166610,163484,163692,155237"
224442,"166610,163484,163692,155237"
224446,"166610,163484,163692,155237"
224450,"166610,163484,163692,155237"
224455,"166610,163484,163692,155237"
224458,"166610,163484,163692,155237"
224466,"166610,163484,163692,155237"
224469,"166610,163484,163692,155237"
224473,"166610,163484,163692,155237"
224475,"166610,163484,163692,155237"
224478,"166610,163484,163692,155237"
224480,"166610,163484,163692,155237"
224481,"166610,163484,163692,155237"
224483,"166610,163484,163692,155237"
224485,"166610,163484,163692,155237"
224498,"166610,163484,163692,155237"
224502,"166610,163484,163692,155237"
224494,"166610,163484,163692,155237"
224488,"166610,163484,163692,155237"
224506,"166610,163484,163692,155237"
224518,"166610,163484,163692,155237"
224510,"166610,163484,163692,155237"
224514,"166610,163484,163692,155237"
224525,"166610,163484,163692,155237"
224527,"166610,163484,163692,155237"
224530,"166610,163484,163692,155237"
224529,"166610,163484,163692,155237"
224528,"166610,163484,163692,155237"
224531,"166610,163484,163692,155237"
224532,"166610,163484,163692,155237"
224533,"166610,163484,163692,155237"
224547,"166610,163484,163692,155237"
224565,"166610,163484,163692,155237"
224576,"166610,163484,163692,155237"
224584,"166610,163484,163692,155237"
224592,"166610,163484,163692,155237"
230275,"166610,163484,163692,155237"
224593,"166610,163484,163692,155237"
230277,"166610,163484,163692,155237"
230290,"166610,163484,163692,155237"
230304,"166610,163484,163692,155237"
230308,"166610,163484,163692,155237"
230311,"166610,163484,163692,155237"
